,doc,chunk_id,Text
0,wiki,0,"The Eurovision Song Contest 2024 was the 68th edition of the Eurovision Song Contest. It took place in Malmö, Sweden, following the country's victory at the 2023 contest with the song ""Tattoo"" by Loreen. Organised by the European Broadcasting Union (EBU) and host broadcaster Sveriges Television (SVT), the contest was held at the Malmö Arena, and consisted of two semi-finals, on 7 and 9 May, and a final on 11 May 2024. The three live shows were presented by Petra Mede and Malin Åkerman, with Mede having previously taken on the role in 2013 and 2016.
Broadcasters from thirty-seven countries participated in the contest, the same number as in 2023. Romania opted not to participate, and Luxembourg competed for the first time since 1993. The Netherlands was disqualified from the contest between the second semi-final and the final, but the country retained its right to vote. The inclusion of Israel among the participants in the context of the Gaza war was met with controversy, and additional security measures were put in place for the event.
The winner was Switzerland with the song ""The Code"", performed by the Swiss singer Nemo and written by them with Benjamin Alasu, Lasse Midtsian Nymann, and Linda Dale. Switzerland won the combined vote and jury vote, and placed fifth in the televote. Croatia won the televote and finished in second place, its best result to date as an independent country, having previously won the 1989 contest as a part of Yugoslavia. Ukraine, France, and Israel completed the top five.
The EBU reported that the contest had a television audience of 163 million viewers in 37 European markets, an increase of a million viewers from the previous edition, with an additional 7.3 million viewers online on YouTube.


== Location =="
1,wiki,1,"== Location ==

The 2024 contest took place in Malmö, Sweden, following the country's victory at the 2023 contest with the song ""Tattoo"", performed by Loreen. It was the seventh time Sweden had hosted the contest, having previously done so in 1975, 1985, 1992, 2000, 2013, and 2016. The venue for the contest was the 15,500-seat Malmö Arena, which had previously hosted the contest in 2013.
The Malmö Live event centre hosted several events related to the contest. It was the venue for the ""Turquoise Carpet"" event on 5 May 2024, where the contestants and their delegations were presented before accredited press and fans, and the opening and closing ceremonies. The venue also hosted screenings of the live shows, and was the location of the EuroClub, which hosted the official after-parties and private performances by contest participants.
A Eurovision Village was created in Folkets Park. It hosted performances by contest participants and local artists, as well as screenings of the live shows for the general public. A ""Eurovision Street"" was established on Friisgatan, stretching from  Triangeln station to the Eurovision Village in Folkets Park. Planned street music performances were affected by the withdrawal of several artists due to Israel's participation in the contest and were ultimately transferred to the Eurovision Village for security reasons. The Euro Fan Café was located at Amiralen.
To celebrate the 50th anniversary of ABBA's victory at the contest in 1974 with ""Waterloo"", which was also Sweden's first win, a special ABBA World exhibition was held at Södergatan between 29 April and 12 May 2024.


=== Bidding phase ==="
2,wiki,2,"=== Bidding phase ===

After Sweden's win in the 2023 contest, the municipalities of Stockholm, Gothenburg, Malmö, Eskilstuna, Jönköping, Örnsköldsvik, Partille and Sandviken expressed interest in hosting the 2024 edition. Host broadcaster Sveriges Television (SVT) set a deadline of 12 June 2023 for interested cities to formally apply. By 13 June, it had received bids from Stockholm, Gothenburg, Malmö, and Örnsköldsvik. On 7 July, Gothenburg and Örnsköldsvik's bids were eliminated. Later that day, the EBU and SVT announced Malmö as the host city.
Key:
 †  Host city
 *  Shortlisted
 ^  Submitted a bid


== Participants ==

Eligibility for participation in the Eurovision Song Contest requires a national broadcaster with an active EBU membership capable of receiving the contest via the Eurovision network and broadcasting it live nationwide. The EBU issues invitations to participate in the contest to all active members.
On 5 December 2023, the EBU announced that broadcasters from 37 countries would participate in the 2024 contest. Luxembourg returned to the contest 31 years after its last participation in 1993.  Romania, which participated in the 2023 contest, was provisionally announced as not participating in 2024. This was confirmed on 25 January 2024.
The contest featured two returning artists: Natalia Barbu, who had represented Moldova in 2007, and Hera Björk, who had represented Iceland in 2010.


=== Other countries ===
Active EBU member broadcasters in Andorra, Bosnia and Herzegovina, Monaco and Slovakia confirmed non-participation prior to the announcement of the participants list by the EBU. The Romanian broadcaster, TVR, remained in talks with the EBU until 25 January 2024, but decided not to participate for financial reasons.


== Production =="
3,wiki,3,"== Production ==

The Eurovision Song Contest 2024 was produced by the Swedish national broadcaster Sveriges Television (SVT). The core team consisted of Ebba Adielsson as executive producer, Christel Tholse Willers as deputy executive producer, Tobias Åberg as executive in charge of production, Johan Bernhagen as executive line producer, Christer Björkman as contest producer, and Per Blankens as TV producer. Additional production personnel included head of production David Wessén, head of legal Mats Lindgren, head of media Madeleine Sinding-Larsen, and executive assistant Linnea Lopez.
Edward af Sillén and Daniel Réhn wrote the script for the live shows' hosting segments and the opening and interval acts, while Robin Hofwander, Daniel Jelinek and Fredrik Bäcklund served as multi-camera directors. Background music for the shows was composed by Eirik Røland and Johan Nilsson. A majority of the production personnel for 2024 previously worked in the previous three editions of the contest held in Sweden: 2000, 2013 and 2016.
Malmö Municipality initially contributed SEK 30 million (€2.5 million) to the budget of the contest. An additional SEK 12.8 million (€1.15 million) was later spent on security measures in the lead-up to and during the event. The total budget was SEK 277 million (€25.2 million), with SVT's contribution approximated at SEK 100 million (€9.1 million).


=== Slogan and visual design ===

On 14 November 2023, the EBU announced that ""United by Music"", the slogan of the 2023 contest, would be retained for 2024 and future editions. The accompanying theme art for 2024, named ""The Eurovision Lights"", was unveiled on 14 December. Designed by Stockholm-based agencies Uncut and Bold Scandinavia, it was based on simple, linear gradients inspired by vertical lines found on auroras and sound equalisers, and was built with adaptability across different formats taken into account.


=== Stage design ==="
4,wiki,4,"=== Stage design ===

The stage design for the 2024 contest, revealed in December 2023, was devised by German production designer Florian Wieder, who had previously designed the sets of six previous contests – the most recent being in 2021. Lighting and screen content was designed by Swedish designer Fredrik Stormby. The stage featured five movable LED cubes, floors and a backdrop screen along with other lighting, video and stagecraft technology, all set around a cross-shaped centre, with the aim of ""creating a unique 360-degree experience"" for viewers. The green room was placed behind the backdrop screen, in a similar fashion to the stages for the 2010 and 2011 contests. Construction of the stage began on 2 April and concluded on 25 April.


=== Postcards ===
The ""postcards"" are short video introductions shown on television while the stage is being prepared for the next entry. Filmed between February and May 2024, the postcards were composed of footage shot by the participating artists through ""selfie-mode"", introducing the artists themselves and the country they represent. Archival footage of two of each country's previous entries was also used in each postcard, which ends with a slow-motion shot of each artist.


=== Presenters ===

Swedish comedian and television host Petra Mede and Swedish-American actress Malin Åkerman were announced as the presenters of the 2024 contest on 5 February 2024. Mede had previously hosted both the 2013 and 2016 editions (solo and with Måns Zelmerlöw, respectively), as well as the 2015 special anniversary programme Eurovision Song Contest's Greatest Hits alongside Graham Norton. The ""Turquoise Carpet"" and opening ceremony events were hosted by Elecktra and Tia Kofi, while Jovan Radomir moderated the contest's press conferences."
5,wiki,5,"=== Security ===
In November 2023, the production team at SVT stated its intention to increase security measures and to keep in contact with Malmö's police authority during the contest, citing a tense climate of protest amid Israel's participation. This included police reinforcement from Denmark and Norway, tightened cybersecurity, and a no-fly zone to prevent drone attacks, as well as adjustments to the number of locations set to host side events. A total of SEK 92 million was spent on the 1,500 police officers present for the competition, which was the largest police operation in the history of Sweden; the Swedish Police Authority covered the costs for the Danish and Norwegian reinforcements. Israeli broadcaster Kan also expressed concerns over the safety of Israelis in Malmö, after the country's National Security Council listed the city as a ""dangerous destination"" for Israeli citizens in its official travel recommendations. Additional measures were taken to protect the Israeli delegation, with the country's representative Eden Golan being escorted by Shin Bet agents in addition to local police officers following death threats directed at her via social media. Shin Bet also sent a delegation to Malmö, headed by its director Ronen Bar, to prevent potential threats against them. Thousands of pro-Palestinian demonstrators gathered in Malmö to protest against Israel's participation in the competition.
SVT's decision was made in the context of a high terroristic threat level in Sweden, with the Swedish Security Service (SÄPO) having raised the level from 3 to 4 out of 5 in August 2023, primarily in response to the 2023 Quran burnings in the country and prior to the Gaza war. Concerns about the risk of terrorist attacks resurged in the wake of the Crocus City Hall attack outside Moscow on 22 March 2024. In the event of an emergency, Malmö Municipality would provide accommodations in local schools and sports facilities as well as psychological support.


== Format ==


=== Voting system and contest structure ==="
6,wiki,6,"== Format ==


=== Voting system and contest structure ===

After the outcome of the 2023 contest, which saw Sweden win despite Finland's lead in the televoting, sparked controversy among the audience, Norwegian broadcaster NRK began discussions with the EBU regarding a potential revision of the jury voting procedure. It was noted that Norwegian entries in recent years had been penalised by the juries, particularly in 2019 and 2023, when Norway finished in sixth and fifth place overall, respectively, despite coming first in 2019 and third in 2023 with the televote. In an interview, the Norwegian head of delegation Stig Karlsen discussed the idea of reducing the jury's weight on the final score, from the current 49.4%, to 40% or 30%. No changes to the voting system were ultimately implemented in this regard.
For 2024, the ""Rest of the World"" voting window was open for 24 hours before each show, as well as during each show. For participating countries, it was open after the last song is performed – as in previous years – in the semi-finals. In the final, it was opened just before the first performance and closed 25 minutes after the last performance. The automatic qualifiers – the host country and the ""Big Five"" – performed their entries in full during the semi-finals, in between the competing acts. Following an incident which ultimately led to the disqualification of the Dutch representative, the opening of the ""Rest of the World"" voting window for the final was delayed until eight hours before the show.
13 of the 25 open positions in the running order of the final were subject to a ""producer's choice"" draw option, alongside six positions available each, for the first half and second half of the show. For the countries which drew the ""producer's choice"" category, the contest producers were able to place that country anywhere in the running order. The runtime of the final was initially planned to be reduced by approximately an hour. This was ultimately not a priority, with the final planned to be shortened by a maximum of five minutes.


=== Semi-final allocation draw ==="
7,wiki,7,"=== Semi-final allocation draw ===

The draw to determine the participating countries' semi-finals took place on 30 January 2024 at 19:00 CET, at the Malmö Town Hall. The thirty-one semi-finalists were divided over five pots, based on historical voting patterns, with the purpose of reducing the chance of bloc voting and increasing suspense in the semi-finals. The draw also determined which semi-final each of the six automatic qualifiers – host country Sweden and ""Big Five"" countries (France, Germany, Italy, Spain and the United Kingdom) – would vote in and be required to broadcast. The ceremony was hosted by Pernilla Månsson Colt and Farah Abadi, and included the passing of the host city insignia from Steve Rotheram, the mayor of the Liverpool City Region and representative of previous host city Liverpool, to Katrin Stjernfeldt Jammeh, the mayor of Malmö Municipality.
With the approval from the contest's reference group, Israel was allocated to the second semi-final following a request from Israeli broadcaster Kan, as the rehearsal date for the first semi-final coincided with Yom HaShoah.


== Contest overview ==


=== Semi-final 1 ==="
8,wiki,8,"== Contest overview ==


=== Semi-final 1 ===

The first semi-final took place on 7 May 2024 at 21:00 CEST and featured fifteen competing countries. Those countries, plus Germany, Sweden and the United Kingdom, as well as non-participating countries under an aggregated ""Rest of the World"" vote, voted in this semi-final. The running order (R/O) was determined by the contest producers and was announced publicly on 26 March. In addition to the competing entries, the United Kingdom, Germany and Sweden performed their entries during the show, appearing on stage after the entries from Ireland, Iceland and Moldova, respectively. Croatia was awarded the most points in the semi-final, and qualified for the final alongside, in order of points total, Ukraine, Ireland, Lithuania, Luxembourg, Cyprus, Finland, Portugal, Slovenia, and Serbia. The countries that failed to reach the final were Australia, Poland, Moldova, Azerbaijan, and Iceland.
This semi-final was opened by former participants Eleni Foureira, Eric Saade and Chanel, who performed their respective competing songs – ""Fuego"" (Cyprus 2018), ""Popular"" (Sweden 2011) and ""SloMo"" (Spain 2022). The interval acts included 1980 and 1987 winner for Ireland, Johnny Logan, performing the 2012 Swedish winning entry ""Euphoria"", and 2018 Swedish entrant Benjamin Ingrosso performing a medley of his songs ""Look Who's Laughing Now"", ""Kite"" and ""Honey Boy"".


=== Semi-final 2 ==="
9,wiki,9,"=== Semi-final 2 ===

The second semi-final took place on 9 May 2024 at 21:00 CEST and features sixteen competing countries. Those countries plus France, Italy and Spain, as well as non-participating countries under an aggregated ""Rest of the World"" vote, voted in this semi-final. The running order (R/O) was determined by the contest producers and was announced publicly on 26 March. In addition to the competing entries, France, Spain and Italy performed their entries during the show, appearing on stage after the entries from Czechia, Latvia and Estonia, respectively. Israel was awarded the most points in the semi-final, and qualified for the final alongside, in order of points total, the Netherlands, Armenia, Switzerland, Greece, Estonia, Latvia, Georgia, Austria, and Norway. The countries that failed to reach the final were Czechia, Denmark, Belgium, San Marino, Albania, and Malta.
This semi-final was opened by a pre-recorded segment, in which presenters Petra Mede and Malin Åkerman performed the 2023 winning song ""Tattoo"" with minor lyrical changes. The interval acts included Helena Paparizou, Charlotte Perrelli and Sertab Erener performing their respective winning songs – ""My Number One"" (Greece 2005), ""Take Me to Your Heaven"" (Sweden 1999) and ""Everyway That I Can"" (Turkey 2003) – with the audience taking part in a sing-along; and ""We Just Love Eurovision Too Much"", a musical number performed by Mede that satirised various aspects of the contest and Sweden's success in the event, with appearances by Perrelli, Sarah Dawn Finer reprising her role as Lynda Woodruff, and 2023 Finnish representative Käärijä performing an excerpt of his competing song ""Cha Cha Cha"". 1984 winners for Sweden, Herreys, performed their winning song ""Diggi-Loo Diggi-Ley"" after the qualifiers were announced.


=== Final ==="
