,churn,User_Id,State,Account_Length,Area_Code,Intl_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,Agitation_Level
0,0,0166f628-07a6-4461-9870-fc9df0df7a5b,KS,128,415,0,1,25,265.1,110,197.4,99,244.7,91,10.0,3,1,63
1,0,f4063471-7332-45c1-b572-686a23a83d32,OH,107,415,0,1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,192
2,0,d519783f-f475-45a9-839d-490ec9d9623d,NJ,137,415,0,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,159
3,0,334bb7a0-ba2c-4ba2-a961-63575428b5ab,OH,84,408,1,0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,16
4,0,f2274829-4ed0-4262-b971-700dded07789,OK,75,415,1,0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,31
5,0,9dd5f76e-53ff-4956-ad25-f30a2f874826,AL,118,510,1,0,0,223.4,98,220.6,101,203.9,118,6.3,6,0,63
6,0,a5841537-a355-4d89-895b-835be692debe,MA,121,510,0,1,24,218.2,88,348.5,108,212.6,118,7.5,7,3,183
7,0,ae3d03e3-a957-4a3e-a905-410b12d3285f,MO,147,415,1,0,0,157.0,79,103.1,94,211.8,96,7.1,6,0,1
8,0,c7123cfe-0bbf-4a40-8a3a-289336f34465,LA,117,408,0,0,0,184.5,97,351.6,80,215.8,90,8.7,4,1,10
9,0,165d9cfd-937f-4d2b-bb51-c66a8d7077ef,WV,141,415,1,1,37,258.6,84,222.0,111,326.4,97,11.2,5,0,167
10,1,7f2b6780-4b6b-4c46-a2bb-3ad76f877dcb,IN,65,415,0,0,0,129.1,137,228.5,83,208.8,111,12.7,6,4,140
11,0,3dfeac34-43db-4f11-a1f5-6c8d07a6f5ab,RI,74,415,0,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0,170
12,0,b1be775b-9935-4916-a7c0-976b22afcbef,IA,168,408,0,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,30
13,0,cc97b97f-6c14-4dca-b10d-2cd011bd4c7a,MT,95,510,0,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,176
14,0,a484b60e-9a46-4e57-b7eb-1f21fa434016,IA,62,415,0,0,0,120.7,70,307.2,76,203.0,99,13.1,6,4,36
15,1,58a7fb84-bd3a-4e9c-b5ad-0b7425cc0084,NY,161,415,0,0,0,332.9,67,317.8,97,160.6,128,5.4,9,4,29
16,0,8bed51a7-a68b-46e1-a93a-8cc6ce011e15,ID,85,408,0,1,27,196.4,139,280.9,90,89.3,75,13.8,4,1,173
17,0,0ecbfb71-c5f0-4a68-b398-af9c7f6332be,VT,93,510,0,0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,17
18,0,eed5c579-204f-495a-a522-f7153a0fdec4,VA,76,510,0,1,33,189.7,66,212.8,65,165.7,108,10.0,5,1,115
19,0,978a5d1f-2451-446d-aa1d-69c76783ba2c,TX,73,415,0,0,0,224.4,90,159.5,88,192.8,74,13.0,2,1,29
