iter	Passed	Remaining
0	58	17527
1	60	8963
2	61	6089
3	62	4650
4	64	3784
5	65	3206
6	66	2801
7	68	2494
8	69	2257
9	71	2069
10	72	1908
11	73	1773
12	75	1663
13	76	1571
14	78	1487
15	79	1412
16	80	1346
17	82	1287
18	83	1234
19	85	1190
20	86	1147
21	87	1108
22	88	1070
23	90	1036
24	91	1005
25	92	975
26	94	951
27	95	929
28	97	907
29	98	885
30	99	863
31	100	844
32	102	827
33	103	811
34	107	811
35	108	794
36	109	778
37	111	766
38	112	752
39	114	741
40	115	728
41	116	716
42	118	705
43	119	694
44	120	683
45	121	673
46	123	662
47	124	653
48	125	644
49	127	635
50	128	626
51	129	617
52	130	609
53	132	601
54	133	593
55	134	586
56	135	578
57	137	573
58	138	566
59	139	559
60	141	553
61	142	547
62	143	540
63	145	535
64	146	529
65	147	523
66	148	518
67	150	512
68	151	507
69	152	501
70	154	496
71	155	492
72	156	487
73	158	484
74	159	479
75	161	475
76	162	471
77	164	468
78	166	464
79	167	460
80	168	456
81	170	452
82	171	448
83	173	445
84	174	442
85	176	438
86	177	435
87	179	431
88	180	428
89	181	424
90	183	420
91	184	417
92	186	414
93	188	412
94	189	408
95	190	405
96	192	402
97	193	399
98	195	396
99	196	392
100	197	389
101	198	386
102	200	383
103	201	379
104	202	376
105	204	373
106	205	370
107	206	366
108	207	363
109	208	360
110	210	357
111	211	354
112	212	352
113	213	349
114	215	346
115	216	343
116	217	340
117	219	338
118	220	335
119	221	332
120	222	329
121	224	327
122	225	324
123	226	321
124	228	319
125	229	316
126	230	314
127	232	311
128	234	310
129	235	307
130	236	305
131	238	302
132	239	300
133	240	298
134	242	296
135	243	293
136	244	291
137	246	288
138	248	287
139	249	285
140	250	283
141	252	280
142	253	278
143	254	276
144	256	273
145	257	271
146	258	269
147	261	268
148	262	266
149	264	264
150	265	262
151	267	260
152	268	258
153	270	256
154	272	254
155	273	252
156	274	250
157	277	248
158	278	246
159	279	244
160	281	243
161	283	241
162	284	239
163	286	237
164	288	235
165	289	233
166	292	232
167	294	231
168	295	229
169	297	227
170	299	226
171	301	224
172	302	222
173	304	220
174	305	218
175	306	216
176	308	214
177	309	212
178	311	210
179	312	208
180	313	206
181	315	204
182	316	202
183	318	200
184	319	198
185	320	196
186	322	194
187	323	192
188	325	190
189	326	188
190	327	186
191	328	184
192	329	182
193	331	181
194	333	179
195	334	177
196	336	176
197	338	174
198	339	172
199	341	170
200	342	168
201	344	166
202	345	165
203	347	163
204	348	161
205	350	159
206	351	158
207	352	156
208	354	154
209	356	152
210	357	150
211	359	149
212	360	147
213	362	145
214	363	143
215	364	141
216	366	140
217	367	138
218	368	136
219	370	134
220	371	132
221	373	131
222	374	129
223	375	127
224	377	125
225	378	124
226	380	122
227	381	120
228	383	118
229	384	117
230	386	115
231	387	113
232	388	111
233	390	110
234	391	108
235	392	106
236	394	104
237	395	103
238	396	101
239	398	99
240	399	97
241	401	96
242	403	94
243	404	92
244	406	91
245	407	89
246	408	87
247	409	85
248	411	84
249	412	82
250	414	80
251	415	79
252	417	77
253	418	75
254	419	74
255	421	72
256	422	70
257	424	69
258	425	67
259	426	65
260	428	63
261	429	62
262	431	60
263	432	59
264	434	57
265	436	55
266	437	54
267	438	52
268	440	50
269	441	49
270	443	47
271	444	45
272	446	44
273	447	42
274	448	40
275	450	39
276	451	37
277	453	35
278	454	34
279	455	32
280	457	30
281	458	29
282	460	27
283	461	26
284	463	24
285	464	22
286	466	21
287	467	19
288	468	17
289	469	16
290	471	14
291	472	12
292	473	11
293	475	9
294	477	8
295	478	6
296	480	4
297	481	3
298	482	1
299	484	0
